fips,state,pop_2019,date,total_doses_state_level,cum_deaths,confirmed,1st_dose,2nd_dose,est_booster_doses
2.0,Alaska,731545.0,2020-12-22,8918.0,194.0,44485.0,8918.0,0.0,0.0
5.0,Arkansas,3017804.0,2020-12-22,4000.0,3338.0,205048.0,4000.0,0.0,0.0
8.0,Colorado,5758736.0,2020-12-22,38666.0,4369.0,313552.0,38666.0,0.0,0.0
9.0,Connecticut,3565287.0,2020-12-22,7761.0,5703.0,168960.0,7761.0,0.0,0.0
10.0,Delaware,973764.0,2020-12-22,5202.0,980.0,51623.0,5202.0,0.0,0.0
12.0,Florida,21477737.0,2020-12-22,62921.0,20754.0,1223015.0,62921.0,0.0,0.0
13.0,Georgia,10617423.0,2020-12-22,26010.0,10463.0,600517.0,26010.0,0.0,0.0
16.0,Idaho,1787065.0,2020-12-22,5665.0,1313.0,132594.0,5665.0,0.0,0.0
21.0,Kentucky,4467673.0,2020-12-22,8839.0,2440.0,247343.0,8839.0,0.0,0.0
22.0,Louisiana,4648794.0,2020-12-22,22108.0,7158.0,290960.0,22108.0,0.0,0.0
23.0,Maine,1344212.0,2020-12-22,8001.0,303.0,19743.0,8001.0,0.0,0.0
24.0,Maryland,6045680.0,2020-12-22,7537.0,5519.0,255397.0,7537.0,0.0,0.0
25.0,Massachusetts,6892503.0,2020-12-22,35618.0,11802.0,330071.0,46053.0,0.0,0.0
26.0,Michigan,9986857.0,2020-12-22,26737.0,12223.0,484609.0,26737.0,0.0,0.0
29.0,Missouri,6137428.0,2020-12-22,23000.0,4992.0,382560.0,23000.0,0.0,0.0
30.0,Montana,1068778.0,2020-12-22,3000.0,895.0,77947.0,3000.0,0.0,0.0
31.0,Nebraska,1934408.0,2020-12-22,8958.0,1521.0,158324.0,8958.0,0.0,0.0
34.0,New Jersey,8882190.0,2020-12-22,2149.0,18326.0,485914.0,2149.0,0.0,0.0
36.0,New York,19453561.0,2020-12-22,50000.0,36547.0,876281.0,50000.0,0.0,0.0
37.0,North Carolina,10488084.0,2020-12-22,24500.0,6291.0,488902.0,24500.0,0.0,0.0
38.0,North Dakota,762062.0,2020-12-22,8463.0,1238.0,90452.0,8463.0,0.0,0.0
39.0,Ohio,11689100.0,2020-12-22,22717.0,12165.0,637032.0,22717.0,0.0,0.0
40.0,Oklahoma,3956971.0,2020-12-22,2253.0,2240.0,265747.0,2253.0,0.0,0.0
41.0,Oregon,4217737.0,2020-12-22,8584.0,1382.0,105073.0,8584.0,0.0,0.0
42.0,Pennsylvania,12801989.0,2020-12-22,26563.0,14255.0,579865.0,26563.0,0.0,0.0
44.0,Rhode Island,1059361.0,2020-12-22,6400.0,1797.0,81187.0,6400.0,0.0,0.0
46.0,South Dakota,884659.0,2020-12-22,7844.0,1381.0,95509.0,7844.0,0.0,0.0
47.0,Tennessee,6829174.0,2020-12-22,33398.0,6269.0,534019.0,33398.0,0.0,0.0
48.0,Texas,28995881.0,2020-12-22,60631.0,26322.0,1629816.0,60631.0,0.0,0.0
49.0,Utah,3205958.0,2020-12-22,11380.0,854.0,196561.0,11380.0,0.0,0.0
50.0,Vermont,623989.0,2020-12-22,4374.0,112.0,6608.0,4374.0,0.0,0.0
51.0,Virginia,8535519.0,2020-12-22,19506.0,4705.0,314481.0,19506.0,0.0,0.0
53.0,Washington,7614893.0,2020-12-22,35160.0,3131.0,227887.0,35160.0,0.0,0.0
54.0,West Virginia,1792147.0,2020-12-22,5450.0,1171.0,74737.0,5450.0,0.0,0.0
55.0,Wisconsin,5822434.0,2020-12-22,23015.0,4879.0,497380.0,23015.0,0.0,0.0
56.0,Wyoming,578759.0,2020-12-22,1868.0,373.0,42379.0,1868.0,0.0,0.0
1.0,Alabama,4903185.0,2020-12-23,5181.0,4587.0,334569.0,5181.0,0.0,0.0
